Date,Open,High,Low,Close,Volume
2025-12-31,189.57,190.56,186.49,186.5,120100000
2025-12-30,188.24,188.99,186.93,187.54,97690000
2025-12-29,187.71,188.76,185.91,188.22,120010000
2025-12-26,189.92,192.69,188.0,190.53,139740000
2025-12-24,187.94,188.91,186.59,188.61,65530000
2025-12-23,182.97,189.33,182.9,189.21,174870000
2025-12-22,183.92,184.16,182.35,183.69,129060000
2025-12-19,176.66,181.45,176.34,180.99,324930000
2025-12-18,174.53,176.15,171.82,174.14,176100000
2025-12-17,176.1,176.13,170.31,170.94,222780000
2025-12-16,176.26,178.49,174.9,177.72,148590000
2025-12-15,177.94,178.41,175.03,176.29,164780000
2025-12-12,181.11,182.82,174.62,175.02,204270000
2025-12-11,180.27,181.32,176.62,180.93,182140000
2025-12-10,184.96,185.48,182.04,183.78,162790000
2025-12-09,185.56,185.72,183.32,184.97,144720000
2025-12-08,182.64,188.0,182.4,185.55,204380000
2025-12-05,183.89,184.66,180.91,182.41,143970000
2025-12-04,181.62,184.51,179.96,183.38,167360000
2025-12-03,181.08,182.45,179.11,179.59,165140000
2025-12-02,181.76,185.66,180.0,181.46,182630000
2025-12-01,174.76,180.3,173.68,179.92,188130000
2025-11-28,179.01,179.29,176.5,177.0,121330000
2025-11-26,181.63,182.91,178.24,180.26,183850000
2025-11-25,174.91,178.16,169.55,177.82,320600000
2025-11-24,179.49,183.5,176.48,182.55,256620000
2025-11-21,181.24,184.56,172.93,178.88,346930000
2025-11-20,195.95,196.0,179.85,180.64,343500000
2025-11-19,184.79,187.85,182.83,186.52,247250000
2025-11-18,183.38,184.8,179.65,181.36,213600000
2025-11-17,185.96,189.0,184.32,186.6,173630000
2025-11-14,182.86,191.01,180.58,190.17,186590000
2025-11-13,191.05,191.44,183.85,186.86,207420000
2025-11-12,195.72,195.89,191.13,193.8,154940000
2025-11-11,195.15,195.42,191.3,193.16,176480000
2025-11-10,195.11,199.94,193.79,199.05,198900000
2025-11-07,184.9,188.32,178.91,188.15,264940000
2025-11-06,196.42,197.62,186.38,188.08,223030000
2025-11-05,198.77,202.92,194.65,195.21,171350000
2025-11-04,203.0,203.97,197.93,198.69,188920000
2025-11-03,208.08,211.34,205.56,206.88,180270000
2025-10-31,206.45,207.97,202.07,202.49,179800000
2025-10-30,205.15,206.16,201.41,202.89,178860000
2025-10-29,207.98,212.19,204.77,207.04,308830000
2025-10-28,193.05,203.15,191.91,201.03,297990000
2025-10-27,189.99,192.0,188.43,191.49,153450000
2025-10-24,183.84,187.47,183.5,186.26,131300000
2025-10-23,180.42,183.03,179.79,182.16,111360000
2025-10-22,181.14,183.44,176.76,180.28,162250000
2025-10-21,182.79,182.79,179.8,181.16,124240000
2025-10-20,183.13,185.2,181.73,182.64,128539999
